Date,Adj Close
1/2/19,63.986061
1/3/19,61.210548
1/4/19,63.239956
1/7/19,63.239956
1/8/19,63.289696
1/9/19,63.548347
1/10/19,63.856739
1/11/19,63.399124
1/14/19,63.040993
1/15/19,63.747311
1/16/19,63.438919
1/17/19,63.94627
1/18/19,64.36409
1/22/19,65.050507
1/23/19,66.085106
1/24/19,64.403877
1/25/19,66.741676
1/28/19,66.552673
1/29/19,66.69194
1/30/19,67.796181
1/31/19,67.786232
2/1/19,67.756386
2/4/19,67.229141
2/5/19,68.979996
2/6/19,68.849998
2/7/19,69.139999
2/8/19,69.75
2/11/19,69.989998
2/12/19,69.75
2/13/19,70.510002
2/14/19,70.839996
2/15/19,70.709999
2/19/19,70.199997
2/20/19,70.389999
2/21/19,70.699997
2/22/19,71.300003
2/25/19,71.050003
2/26/19,71.139999
2/27/19,70.150002
2/28/19,70.260002
3/1/19,70.849998
3/4/19,70.949997
3/5/19,71.580002
3/6/19,71.269997
3/7/19,70.610001
3/8/19,69.360001
3/11/19,69.68
3/12/19,70.050003
3/13/19,70.099998
3/14/19,70.739998
3/15/19,70.669998
3/18/19,70.839996
3/19/19,71.379997
3/20/19,71.629997
3/21/19,72.260002
3/22/19,71.959999
3/25/19,72.300003
3/26/19,72.959999
3/27/19,72.739998
3/28/19,73.959999
3/29/19,74.339996
4/1/19,73.959999
