Date,Adj Close
1/2/19,68.924789
1/3/19,67.866539
1/4/19,70.368759
1/7/19,70.734695
1/8/19,71.248985
1/9/19,71.624809
1/10/19,71.258881
1/11/19,70.932503
1/14/19,70.843483
1/15/19,70.883049
1/16/19,70.853378
1/17/19,71.337997
1/18/19,72.188553
1/22/19,71.100632
1/23/19,70.517113
1/24/19,70.616013
1/25/19,70.932503
1/28/19,70.457771
1/29/19,70.724808
1/30/19,71.496246
1/31/19,72.475372
2/1/19,75.08638
2/4/19,73.998459
2/5/19,74.760002
2/6/19,74.433632
2/7/19,73.860001
2/8/19,73.980003
2/11/19,74.099998
2/12/19,75.400002
2/13/19,76.25
2/14/19,76.269997
2/15/19,77.709999
2/19/19,78.230003
2/20/19,78.529999
2/21/19,77.82
2/22/19,78.419998
2/25/19,78.5
2/26/19,78.660004
2/27/19,79.470001
2/28/19,79.029999
3/1/19,80
3/4/19,80.309998
3/5/19,80.190002
3/6/19,79.279999
3/7/19,80.160004
3/8/19,79.010002
3/11/19,79.779999
3/12/19,80
3/13/19,80.709999
3/14/19,80.440002
3/15/19,80.150002
3/18/19,81.080002
3/19/19,80.870003
3/20/19,81.32
3/21/19,81.790001
3/22/19,80.480003
3/25/19,79.919998
3/26/19,80.959999
3/27/19,80.339996
3/28/19,80.739998
3/29/19,80.800003
4/1/19,81.730003
