Date,Actual Close,Predicted Close,Predicted Lower,Predicted Upper
1/2/19,63.986061,58.40849765,56.26616208,61.00954124
1/3/19,61.210548,58.41512443,56.18036589,61.25832181
1/4/19,63.239956,58.42175121,56.18858871,61.30593193
1/7/19,63.239956,58.44163156,56.24614204,61.15104832
1/8/19,63.289696,58.44825834,56.11887777,61.07799791
1/9/19,63.548347,58.45488512,56.20353405,61.14793152
1/10/19,63.856739,58.4615119,56.08505457,61.02235603
1/11/19,63.399124,58.46813868,56.19638546,61.05724309
1/14/19,63.040993,58.48801902,56.07919558,61.22033352
1/15/19,63.747311,58.4946458,56.07313352,61.21451174
1/16/19,63.438919,58.50127258,56.28207237,61.15396828
1/17/19,63.94627,58.50789936,56.26896994,61.21192376
1/18/19,64.36409,58.51452614,56.28734732,61.05681246
1/22/19,65.050507,58.54103327,56.35638212,61.21224273
1/23/19,66.085106,58.54766005,56.13035028,61.24100617
1/24/19,64.403877,58.55428683,56.31161251,61.14349714
1/25/19,66.741676,58.56091361,56.38500801,61.21628325
1/28/19,66.552673,58.58079395,56.05532856,61.05833958
1/29/19,66.69194,58.58742073,56.1368879,61.14978176
1/30/19,67.796181,58.59404751,56.29450997,61.15801109
1/31/19,67.786232,58.60067429,56.21293879,61.17727692
2/1/19,67.756386,58.60730108,56.25126116,60.93774571
2/4/19,67.229141,58.62718142,55.92253064,61.34519219
2/5/19,68.979996,58.6338082,55.99513087,61.07551485
2/6/19,68.849998,58.64043498,56.04077317,61.1054874
2/7/19,69.139999,58.64706176,55.98814486,60.95051707
2/8/19,69.75,58.65368854,55.97211567,61.1513839
2/11/19,69.989998,58.67356888,55.81726369,60.97884847
2/12/19,69.75,58.68019566,56.0625996,61.0622522
2/13/19,70.510002,58.68682244,55.9706143,60.991811
2/14/19,70.839996,58.69344923,55.9803176,61.24914742
2/15/19,70.709999,58.70007601,56.00999734,61.04543462
2/19/19,70.199997,58.72658313,56.09128924,61.24114217
2/20/19,70.389999,58.73320991,56.12101389,61.15037687
2/21/19,70.699997,58.73983669,56.11337963,61.20867312
2/22/19,71.300003,58.74646347,56.0229814,61.24104494
2/25/19,71.050003,58.76634381,56.12415506,61.03938182
2/26/19,71.139999,58.77297059,56.14675079,61.2188931
2/27/19,70.150002,58.77959738,56.24913274,61.28269829
2/28/19,70.260002,58.78622416,56.33863436,61.2825251
3/1/19,70.849998,58.79285094,56.3492129,61.47253958
3/4/19,70.949997,58.81273128,56.17477521,61.44008566
3/5/19,71.580002,58.81935806,56.28104427,61.47880406
3/6/19,71.269997,58.82598484,56.09414518,61.34203308
3/7/19,70.610001,58.83261162,56.54461585,61.47499537
3/8/19,69.360001,58.8392384,56.33619777,61.47653057
3/11/19,69.68,58.85911874,56.55675799,61.44950869
3/12/19,70.050003,58.86574553,56.38257638,61.52115345
3/13/19,70.099998,58.87237231,56.33492693,61.5553505
3/14/19,70.739998,58.87899909,56.35291989,61.78618377
3/15/19,70.669998,58.88562587,56.67269278,61.75569228
3/18/19,70.839996,58.90550621,56.72167429,61.78189135
3/19/19,71.379997,58.91213299,56.41020093,61.8078995
3/20/19,71.629997,58.91875977,56.67287097,61.74684466
3/21/19,72.260002,58.92538655,56.57885117,61.83441392
3/22/19,71.959999,58.93201333,56.74775881,61.90231808
3/25/19,72.300003,58.95189368,56.70919576,61.92777129
3/26/19,72.959999,58.95852046,56.55138198,62.01280636
3/27/19,72.739998,58.96514724,56.71747437,61.94774855
3/28/19,73.959999,58.97177402,56.99175174,61.93394261
3/29/19,74.339996,58.9784008,56.82021588,62.06224774
