Date,Adj Close
1/2/19,46.518295
1/3/19,46.151623
1/4/19,47.519226
1/7/19,47.212009
1/8/19,47.112907
1/9/19,47.370571
1/10/19,47.321022
1/11/19,47.439941
1/14/19,47.985001
1/15/19,47.241737
1/16/19,48.500328
1/17/19,48.787724
1/18/19,49.560715
1/22/19,49.412067
1/23/19,49.669727
1/24/19,49.530987
1/25/19,49.679642
1/28/19,49.372425
1/29/19,49.402153
1/30/19,49.639999
1/31/19,48.91
2/1/19,48.91
2/4/19,49.060001
2/5/19,49.27
2/6/19,49.220001
2/7/19,48.080002
2/8/19,47.650002
2/11/19,47.650002
2/12/19,49.049999
2/13/19,49.02
2/14/19,48.52
2/15/19,49.220001
2/19/19,49.380001
2/20/19,49.810001
2/21/19,49.560001
2/22/19,49.02
2/25/19,49.66
2/26/19,49.59
2/27/19,49.900002
2/28/19,49.889999
3/1/19,50.029999
3/4/19,50.110001
3/5/19,49.889999
3/6/19,49.82
3/7/19,49.68
3/8/19,49.799999
3/11/19,49.759998
3/12/19,49.650002
3/13/19,49.919998
3/14/19,50.349998
3/15/19,50.66
3/18/19,51.73
3/19/19,51.41
3/20/19,50.400002
3/21/19,49.860001
3/22/19,48.310001
3/25/19,48.080002
3/26/19,49.009998
3/27/19,48.77
3/28/19,49.09
3/29/19,48.32
4/1/19,48.810001
