Date,Actual Close
1/2/19,204.20842
1/3/19,199.880112
1/4/19,205.684448
1/7/19,206.442383
1/8/19,207.98822
1/9/19,209.334564
1/10/19,210.072586
1/11/19,209.942932
1/14/19,208.436996
1/15/19,210.461533
1/16/19,209.613815
1/17/19,210.890381
1/18/19,213.014633
1/22/19,211.827835
1/23/19,211.518677
1/24/19,209.743469
1/25/19,208.506821
1/28/19,210.20224
1/29/19,209.743469
1/30/19,210.78067
1/31/19,214.051834
2/1/19,209.703583
2/4/19,210.611115
2/5/19,211.039978
2/6/19,211.029999
2/7/19,209.050003
2/8/19,207.75
2/11/19,208.720001
2/12/19,211.899994
2/13/19,212.800003
2/14/19,213.839996
2/15/19,216.470001
2/19/19,218.119995
2/20/19,217.110001
2/21/19,215.229996
2/22/19,216.289993
2/25/19,217.050003
2/26/19,217.610001
2/27/19,218.050003
2/28/19,218.740005
3/1/19,219.440002
3/4/19,218.410004
3/5/19,219.820007
3/6/19,219.229996
3/7/19,216.789993
3/8/19,227.820007
3/11/19,229.690002
3/12/19,232.960007
3/13/19,236.380005
3/14/19,233.839996
3/15/19,233.600006
3/18/19,236.589996
3/19/19,237.050003
3/20/19,236.979996
3/21/19,239.539993
3/22/19,237.559998
3/25/19,236.970001
3/26/19,239.070007
3/27/19,239.410004
3/28/19,241.220001
3/29/19,242.139999
