Date,Actual Close,Predicted Close,Predicted Lower,Predicted Upper
1/2/19,46.518295,54.1210471,51.48181468,57.48643458
1/3/19,46.151623,54.12648496,51.63633566,57.5659706
1/4/19,47.519226,54.13192283,51.73429129,57.50679629
1/7/19,47.212009,54.14823643,51.74688143,57.40083917
1/8/19,47.112907,54.15367429,51.72722484,57.42038358
1/9/19,47.370571,54.15911216,51.48112908,57.35818546
1/10/19,47.321022,54.16455003,51.66202198,57.37044745
1/11/19,47.439941,54.16998789,51.5388091,57.27556861
1/14/19,47.985001,54.18630149,51.6234216,57.43099045
1/15/19,47.241737,54.19173936,51.68765224,57.61246675
1/16/19,48.500328,54.19717722,51.32547224,57.43930504
1/17/19,48.787724,54.20261509,51.59154041,57.21433801
1/18/19,49.560715,54.20805296,51.50207457,57.45954712
1/22/19,49.412067,54.22980442,51.61803931,57.45811879
1/23/19,49.669727,54.23524229,51.45109254,57.34808059
1/24/19,49.530987,54.24068015,51.54771545,57.27018252
1/25/19,49.679642,54.24611802,51.75985687,57.36264548
1/28/19,49.372425,54.26243162,51.65161802,57.44174113
1/29/19,49.402153,54.26786949,51.56645325,57.22530864
1/30/19,49.639999,54.27330735,51.66466913,57.57558429
1/31/19,48.91,54.27874522,51.72563467,57.41532887
2/1/19,48.91,54.28418308,51.29698378,57.41637669
2/4/19,49.060001,54.30049668,51.64327196,57.54410539
2/5/19,49.27,54.30593455,51.69463349,57.36663317
2/6/19,49.220001,54.31137242,51.70760788,57.46925943
2/7/19,48.080002,54.31681028,51.73728302,57.39862196
2/8/19,47.650002,54.32224815,51.70994647,57.34423706
2/11/19,47.650002,54.33856175,51.57223181,57.31321619
2/12/19,49.049999,54.34399961,51.67816828,57.47411936
2/13/19,49.02,54.34943748,51.59491033,57.40068912
2/14/19,48.52,54.35487535,51.58584869,57.3285552
2/15/19,49.220001,54.36031321,51.5512594,57.07761224
2/19/19,49.380001,54.38206468,51.46891478,57.16296239
2/20/19,49.810001,54.38750254,51.36417076,57.01960338
2/21/19,49.560001,54.39294041,51.45539032,57.02560466
2/22/19,49.02,54.39837828,51.27338681,57.00547711
2/25/19,49.66,54.41469188,51.52509149,57.11652916
2/26/19,49.59,54.42012974,51.48108141,57.049733
2/27/19,49.900002,54.42556761,51.64221324,57.34503692
2/28/19,49.889999,54.43100547,51.44203953,57.26358812
3/1/19,50.029999,54.43644334,51.09051576,57.13708385
3/4/19,50.110001,54.45275694,51.41298563,57.30818338
3/5/19,49.889999,54.45819481,51.61513472,57.18770348
3/6/19,49.82,54.46363267,51.50727554,57.5546477
3/7/19,49.68,54.46907054,51.32347454,57.43410984
3/8/19,49.799999,54.4745084,51.51036921,57.40772437
3/11/19,49.759998,54.490822,51.55598577,57.19986615
3/12/19,49.650002,54.49625987,51.7319756,57.52218632
3/13/19,49.919998,54.50169774,51.78944018,57.58798436
3/14/19,50.349998,54.5071356,51.78651126,57.61124314
3/15/19,50.66,54.51257347,51.78376246,57.60622423
3/18/19,51.73,54.52888707,51.78324603,57.33913296
3/19/19,51.41,54.53432493,51.91577895,57.62353121
3/20/19,50.400002,54.5397628,51.86397751,57.67404917
3/21/19,49.860001,54.54520067,51.89561985,57.69267221
3/22/19,48.310001,54.55063853,51.99100416,57.63636794
3/25/19,48.080002,54.56695213,51.83664746,57.60487481
3/26/19,49.009998,54.57239,51.9286307,57.74549887
3/27/19,48.77,54.57782786,51.77340758,57.66879601
3/28/19,49.09,54.58326573,51.54776062,57.38862739
3/29/19,48.32,54.5887036,51.64707714,57.47968621
