Date,Adj Close
1/2/19,157.245605
1/3/19,141.582779
1/4/19,147.626846
1/7/19,147.298264
1/8/19,150.106216
1/9/19,152.655289
1/10/19,153.143204
1/11/19,151.639633
1/14/19,149.359421
1/15/19,152.416321
1/16/19,154.278336
1/17/19,155.194397
1/18/19,156.150314
1/22/19,152.64534
1/23/19,153.26268
1/24/19,152.047897
1/25/19,157.086288
1/28/19,155.632523
1/29/19,154.01944
1/30/19,164.544296
1/31/19,165.729218
2/1/19,165.808884
2/4/19,170.518677
2/5/19,173.436157
2/6/19,173.495911
2/7/19,170.210007
2/8/19,170.410004
2/11/19,169.429993
2/12/19,170.889999
2/13/19,170.179993
2/14/19,170.800003
2/15/19,170.419998
2/19/19,170.929993
2/20/19,172.029999
2/21/19,171.059998
2/22/19,172.970001
2/25/19,174.229996
2/26/19,174.330002
2/27/19,174.869995
2/28/19,173.149994
3/1/19,174.970001
3/4/19,175.850006
3/5/19,175.529999
3/6/19,174.520004
3/7/19,172.5
3/8/19,172.910004
3/11/19,178.899994
3/12/19,180.910004
3/13/19,181.710007
3/14/19,183.729996
3/15/19,186.119995
3/18/19,188.020004
3/19/19,186.529999
3/20/19,188.160004
3/21/19,195.089996
3/22/19,191.050003
3/25/19,188.740005
3/26/19,186.789993
3/27/19,188.470001
3/28/19,188.720001
3/29/19,189.949997
4/1/19,191.240005
