Date,Adj Close
1/2/19,100.689987
1/3/19,96.985802
1/4/19,101.496536
1/7/19,101.625984
1/8/19,102.362839
1/9/19,103.826584
1/10/19,103.159431
1/11/19,102.362839
1/14/19,101.616028
1/15/19,104.563438
1/16/19,104.931862
1/17/19,105.668724
1/18/19,107.251953
1/22/19,105.230591
1/23/19,106.25621
1/24/19,105.748375
1/25/19,106.714249
1/28/19,104.633141
1/29/19,102.502243
1/30/19,105.927612
1/31/19,103.985909
2/1/19,102.342918
2/4/19,105.290337
2/5/19,106.764046
2/6/19,105.579102
2/7/19,104.822327
2/8/19,105.220634
2/11/19,104.802422
2/12/19,106.435448
2/13/19,106.355782
2/14/19,106.445404
2/15/19,107.759789
2/19/19,107.709999
2/20/19,107.150002
2/21/19,109.410004
2/22/19,110.970001
2/25/19,111.589996
2/26/19,112.360001
2/27/19,112.169998
2/28/19,112.029999
3/1/19,112.529999
3/4/19,112.260002
3/5/19,111.699997
3/6/19,111.75
3/7/19,110.389999
3/8/19,110.510002
3/11/19,112.830002
3/12/19,113.620003
3/13/19,114.5
3/14/19,114.589996
3/15/19,115.910004
3/18/19,117.57
3/19/19,117.650002
3/20/19,117.519997
3/21/19,120.220001
3/22/19,117.050003
3/25/19,117.660004
3/26/19,117.910004
3/27/19,116.769997
3/28/19,116.93
3/29/19,117.940002
4/1/19,119.019997
